data,venda,estoque,preco
26-07-2014,9,864,1.49
27-07-2014,13,851,1.49
28-07-2014,15,1220,1.22
29-07-2014,26,1207,2.98
30-07-2014,16,1191,1.55
31-07-2014,51,1140,1.55
01-08-2014,47,1093,1.55
02-08-2014,56,1037,1.55
03-08-2014,45,992,1.55
04-08-2014,40,952,1.55
05-08-2014,17,935,1.55
06-08-2014,103,832,1.29
07-08-2014,72,760,1.29
08-08-2014,56,704,1.29
09-08-2014,0,704,1.29
10-08-2014,1,703,1.29
11-08-2014,0,703,1.29
12-08-2014,0,703,1.29
13-08-2014,0,703,1.29
14-08-2014,0,703,1.29
15-08-2014,0,703,1.55
16-08-2014,0,703,1.55
17-08-2014,0,703,1.55
18-08-2014,0,2143,1.55
19-08-2014,0,2143,1.55
20-08-2014,68,2075,1.55
21-08-2014,169,1908,1.19
22-08-2014,213,1695,1.19
23-08-2014,338,1356,1.19
24-08-2014,129,1227,1.19
26-08-2014,13,1271,1.19
27-08-2014,85,1186,1.19
28-08-2014,0,1186,0
29-08-2014,0,1186,1.29
30-08-2014,0,1186,1.29
31-08-2014,0,1186,1.29
01-09-2014,0,1474,1.29
02-09-2014,0,1474,1.29
03-09-2014,0,1474,1.29
04-09-2014,0,1474,1.29
05-09-2014,0,2146,1.29
06-09-2014,0,2146,1.29
07-09-2014,0,2146,1.29
08-09-2014,64,2082,1.29
09-09-2014,154,1928,1.29
10-09-2014,143,1785,1.29
11-09-2014,96,1689,1.29
12-09-2014,140,1549,1.29
13-09-2014,67,1484,1.29
14-09-2014,3,1481,1.29
15-09-2014,71,1410,1.29
16-09-2014,58,1352,1.29
17-09-2014,62,1962,1.29
18-09-2014,62,1996,1.29
19-09-2014,62,2126,1.29
20-09-2014,168,2532,1.29
21-09-2014,99,2433,1.29
22-09-2014,39,2394,1.29
23-09-2014,64,2285,1.29
24-09-2014,117,2168,1.29
25-09-2014,104,2064,1.29
26-09-2014,108,1956,1.29
27-09-2014,234,1014,1.29
28-09-2014,97,917,1.29
29-09-2014,85,832,1.29
30-09-2014,88,1896,1.29
01-10-2014,190,1801,1.29
02-10-2014,163,1637,1.29
03-10-2014,90,1835,1.29
04-10-2014,105,1730,1.29
05-10-2014,47,1683,1.29
06-10-2014,66,2097,1.29
07-10-2014,84,2109,1.29
08-10-2014,80,2028,1.29
09-10-2014,97,1934,1.29
10-10-2014,64,2254,1.29
11-10-2014,128,2126,1.29
12-10-2014,85,2041,1.29
13-10-2014,50,2087,1.29
14-10-2014,91,1996,1.29
15-10-2014,93,1903,1.29
16-10-2014,50,1852,1.29
17-10-2014,85,2246,1.29
18-10-2014,129,2117,1.29
19-10-2014,119,1998,1.29
20-10-2014,45,2049,1.29
21-10-2014,78,2067,1.29
22-10-2014,90,1977,1.29
23-10-2014,78,1899,1.29
24-10-2014,62,1837,1.29
25-10-2014,97,1740,1.29
26-10-2014,111,1629,1.29
27-10-2014,55,1574,1.29
28-10-2014,60,1510,1.29
29-10-2014,61,1449,1.29
30-10-2014,81,1368,1.49
31-10-2014,131,1237,1.49
01-11-2014,160,1077,1.49
02-11-2014,131,946,1.49
03-11-2014,43,903,1.49
04-11-2014,34,869,1.49
05-11-2014,33,836,1.49
06-11-2014,37,799,1.49
07-11-2014,82,717,1.49
08-11-2014,542,175,1.49
09-11-2014,239,0,1.49
10-11-2014,51,0,1.49
11-11-2014,51,80,1.49
12-11-2014,41,34,1.49
13-11-2014,1,33,1.49
14-11-2014,0,33,1.49
15-11-2014,1,32,1.49
16-11-2014,0,32,1.49
17-11-2014,0,32,1.49
18-11-2014,7,25,1.49
19-11-2014,1,24,1.49
20-11-2014,4,20,1.29
21-11-2014,1,19,1.29
22-11-2014,1,18,1.29
23-11-2014,2,16,1.29
24-11-2014,0,16,1.29
25-11-2014,0,16,1.29
26-11-2014,0,16,1.29
27-11-2014,0,16,1.29
28-11-2014,0,16,1.29
29-11-2014,0,16,1.29
30-11-2014,0,16,1.29
01-12-2014,0,16,1.29
02-12-2014,0,16,1.29
03-12-2014,0,16,1.29
04-12-2014,0,16,1.29
05-12-2014,0,16,1.49
06-12-2014,0,16,1.49
07-12-2014,0,16,1.49
08-12-2014,0,16,1.49
09-12-2014,0,16,1.49
10-12-2014,0,16,1.49
11-12-2014,0,16,1.49
12-12-2014,0,16,1.49
13-12-2014,0,16,1.49
14-12-2014,0,16,1.49
15-12-2014,0,688,1.49
16-12-2014,49,735,1.49
17-12-2014,157,578,1.29
18-12-2014,193,385,1.29
19-12-2014,94,291,1.29
20-12-2014,135,156,1.29
21-12-2014,118,38,1.29
22-12-2014,18,116,1.29
23-12-2014,0,116,1.29
24-12-2014,14,102,1.29
25-12-2014,0,102,1.29
26-12-2014,20,82,1.29
27-12-2014,42,328,1.29
28-12-2014,45,283,1.29
29-12-2014,55,612,1.29
30-12-2014,59,553,1.29
31-12-2014,11,542,1.29
01-01-2015,0,542,1.29
02-01-2015,77,561,1.29
03-01-2015,60,2229,1.29
04-01-2015,1,2228,1.29
05-01-2015,69,2351,1.29
06-01-2015,98,2253,1.29
07-01-2015,119,2134,1.29
08-01-2015,93,2137,1.29
09-01-2015,92,2045,1.29
10-01-2015,112,1933,1.29
11-01-2015,96,1837,1.29
12-01-2015,93,1744,1.29
13-01-2015,65,1679,1.29
14-01-2015,100,1581,1.29
15-01-2015,51,1530,1.49
16-01-2015,55,1475,1.49
17-01-2015,71,1403,1.49
18-01-2015,57,1346,1.49
19-01-2015,34,1312,1.49
20-01-2015,47,1265,1.49
21-01-2015,88,1177,1.29
22-01-2015,51,1126,1.29
23-01-2015,49,1076,1.29
24-01-2015,110,966,1.29
25-01-2015,30,936,1.29
26-01-2015,59,877,1.29
27-01-2015,97,780,1.29
28-01-2015,155,625,1.29
29-01-2015,125,500,1.29
30-01-2015,100,496,1.29
31-01-2015,211,285,1.29
01-02-2015,88,197,1.29
02-02-2015,114,467,1.29
03-02-2015,89,570,1.29
04-02-2015,118,548,1.29
05-02-2015,84,1136,1.29
06-02-2015,125,1299,1.29
07-02-2015,184,1211,1.04
08-02-2015,107,1104,1.29
09-02-2015,70,1033,1.29
10-02-2015,66,1063,1.29
11-02-2015,89,974,1.29
12-02-2015,50,1116,2.84
13-02-2015,20,1096,2.89
14-02-2015,77,1019,2.89
15-02-2015,33,986,2.89
16-02-2015,47,1035,2.89
17-02-2015,35,1000,2.89
18-02-2015,60,1228,2.89
19-02-2015,31,1197,2.89
20-02-2015,35,1162,2.89
21-02-2015,80,1082,2.87
22-02-2015,42,1039,2.89
23-02-2015,23,1016,2.89
24-02-2015,19,997,2.89
25-02-2015,18,1075,2.89
26-02-2015,37,1134,2.89
27-02-2015,50,1084,2.89
28-02-2015,127,957,2.89
01-03-2015,123,834,2.89
02-03-2015,44,789,2.89
03-03-2015,22,767,2.89
04-03-2015,31,736,2.89
05-03-2015,22,714,2.89
06-03-2015,40,674,2.89
07-03-2015,62,612,2.89
08-03-2015,59,553,2.89
09-03-2015,28,525,2.89
10-03-2015,68,458,1.49
11-03-2015,73,385,1.49
12-03-2015,87,298,1.49
13-03-2015,175,1878,1.29
14-03-2015,300,1575,1.29
15-03-2015,196,1379,1.29
16-03-2015,123,1256,1.29
17-03-2015,168,1088,1.29
18-03-2015,209,1263,1.29
19-03-2015,188,1075,1.29
20-03-2015,219,856,1.29
21-03-2015,381,475,1.29
22-03-2015,158,317,1.29
23-03-2015,12,304,1.49
24-03-2015,8,296,1.29
25-03-2015,10,286,1.29
26-03-2015,88,774,1.29
27-03-2015,196,770,1.29
28-03-2015,206,660,1.29
29-03-2015,83,577,1.29
30-03-2015,0,673,1.49
31-03-2015,0,673,1.49
01-04-2015,27,646,1.49
02-04-2015,27,1002,1.49
03-04-2015,54,1044,1.49
04-04-2015,136,908,1.49
05-04-2015,55,853,1.49
06-04-2015,22,831,1.49
07-04-2015,30,801,1.49
08-04-2015,30,771,1.49
09-04-2015,30,930,1.49
10-04-2015,44,1078,1.49
11-04-2015,39,1423,1.49
12-04-2015,57,1366,1.49
13-04-2015,30,1336,1.49
14-04-2015,47,1385,1.49
15-04-2015,74,1311,1.49
16-04-2015,114,1196,1.39
