data,venda,estoque,preco
16-06-2016,239,1423,1.69
17-06-2016,243,1756,1.66
18-06-2016,438,1318,1.66
19-06-2016,334,985,1.68
20-06-2016,149,836,2.59
21-06-2016,32,803,2.59
22-06-2016,39,2204,2.59
23-06-2016,42,2738,2.59
24-06-2016,64,2674,2.39
25-06-2016,170,2504,2.39
26-06-2016,132,2372,2.39
27-06-2016,123,2249,2.39
28-06-2016,78,2171,2.39
29-06-2016,130,2041,2.39
30-06-2016,141,1900,2.39
01-07-2016,247,1653,2.39
02-07-2016,322,1331,2.39
03-07-2016,196,1135,2.39
04-07-2016,172,963,2.39
05-07-2016,218,1413,2.39
06-07-2016,216,1965,2.39
07-07-2016,179,1882,2.39
08-07-2016,32,2234,2.39
09-07-2016,95,2139,2.39
10-07-2016,78,2061,2.39
11-07-2016,122,1939,2.39
12-07-2016,164,1967,1.89
13-07-2016,288,1670,1.89
14-07-2016,138,1532,1.89
15-07-2016,189,1343,1.89
16-07-2016,321,1022,1.89
17-07-2016,209,813,1.89
18-07-2016,161,1420,1.89
19-07-2016,157,1359,1.89
20-07-2016,283,1075,1.89
21-07-2016,60,1015,2.39
22-07-2016,98,917,2.39
23-07-2016,133,1550,2.39
24-07-2016,130,1420,2.39
25-07-2016,62,1358,2.39
26-07-2016,97,2893,2.39
27-07-2016,98,3179,2.39
28-07-2016,108,3071,2.39
29-07-2016,128,4095,2.39
30-07-2016,270,3825,2.39
31-07-2016,183,3642,2.39
